accession	action	sdrf_path	title	evidence_terms	pride_queries	organisms	organism_parts	diseases	instruments	experiment_types	quantification_methods	file_count	draft_row_count	pride_pubmed_ids	pride_dois	europepmc_hit_count	europepmc_first_pmid	europepmc_first_doi	europepmc_first_title	pride_url
PXD053023	sandbox_draft	sandbox/PXD053023/PXD053023.sdrf.tsv	Electrophoresis-Correlative Framing of Ion Mobility Deepens Single-Cell Mass Spectrometry Proteomics	single-cell proteome;single-cell mass spectrometry	single cell mass spectrometry;single cell proteome;single-cell mass spectrometry;single-cell proteome	Homo sapiens (human); Xenopus laevis (african clawed frog)	Cell culture		timsTOF	Bottom-up proteomics; Data-dependent acquisition		8	2		10.1016/J.MCPRO.2024.100892	0				https://www.ebi.ac.uk/pride/archive/projects/PXD053023
PXD053053	sandbox_draft	sandbox/PXD053053/PXD053053.sdrf.tsv	Multiplexed single cell proteomics of hypoxia in HEK293 expressing PIP-FUCCI	single-cell proteomics;single-cell mass spectrometry;SCoPE-MS	SCoPE2;single cell mass spectrometry;single cell proteomics;single-cell mass spectrometry;single-cell proteomic;single-cell proteomics	Homo sapiens (human)			Orbitrap Eclipse	Bottom-up proteomics; Data-dependent acquisition		109	96	41317903	10.1016/j.mcpro.2025.101475	1	41317903	10.1016/j.mcpro.2025.101475	Resolving Single-Cell Gene Expression by Pseudotemporal Integration of Transcriptomic and Proteomic Datasets.	https://www.ebi.ac.uk/pride/archive/projects/PXD053053
PXD053079	sandbox_draft	sandbox/PXD053079/PXD053079.sdrf.tsv	Deep Visual Proteomics reveals DNA replication stress as a hallmark of Signet Ring Cell Carcinoma	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Lymph node; Urinary bladder; Malignant cell; Prostate cancer cell; Seminal vesicle	Signet ring cell adenocarcinoma	Orbitrap Astral	Bottom-up proteomics; diaPASEF	Label free	10	3	39910169	10.1038/s41698-025-00819-7	1	39910169	10.1038/s41698-025-00819-7	Deep visual proteomics reveals DNA replication stress as a hallmark of signet ring cell carcinoma.	https://www.ebi.ac.uk/pride/archive/projects/PXD053079
PXD053450	sandbox_draft	sandbox/PXD053450/PXD053450.sdrf.tsv	A carrier-based quantitative proteomics method applied to biomarker discovery in pericardial fluid	single-cell proteomics;carrier proteome SCP	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Myocardium; Pericardial fluid; Pericardium; Heart	Type 2 diabetes mellitus; Heart failure	Orbitrap Exploris 480	Bottom-up proteomics; Data-dependent acquisition	TMT	203	155	39004188	10.1016/j.mcpro.2024.100812	1	39004188	10.1016/j.mcpro.2024.100812	A Carrier-Based Quantitative Proteomics Method Applied to Biomarker Discovery in Pericardial Fluid.	https://www.ebi.ac.uk/pride/archive/projects/PXD053450
PXD053462	sandbox_draft	sandbox/PXD053462/PXD053462.sdrf.tsv	Enhanced feature matching in single-cell proteomics characterizes response to IFN- and reveals co-existence of different cell states- E.coli spike benchmark Proteomics experiment_Vendor Files	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Epithelial cell; Cell culture	Cervix carcinoma	timsTOF Pro 2	Data-independent acquisition; Bottom-up proteomics; diaPASEF	Spectrum counting; Peptide counting	58	1			1	39327420	10.1038/s41467-024-52605-x	Enhanced feature matching in single-cell proteomics characterizes IFN- response and co-existence of cell states.	https://www.ebi.ac.uk/pride/archive/projects/PXD053462
PXD053464	sandbox_draft	sandbox/PXD053464/PXD053464.sdrf.tsv	Enhanced feature matching in single-cell proteomics characterizes response to IFN- and reveals co-existence of different cell states-single cell Proteomics experiment Vendor Files	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Bone cell	Osteosarcoma	timsTOF Pro 2	Data-independent acquisition; Bottom-up proteomics; diaPASEF	Spectrum counting; Peptide counting	204	1			1	39327420	10.1038/s41467-024-52605-x	Enhanced feature matching in single-cell proteomics characterizes IFN- response and co-existence of cell states.	https://www.ebi.ac.uk/pride/archive/projects/PXD053464
PXD053473	sandbox_draft	sandbox/PXD053473/PXD053473.sdrf.tsv	Enhanced feature matching in single-cell proteomics characterizes response to IFN- and reveals co-existence of different cell states - IFNy-200pg Vendor files	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Bone cell	Osteosarcoma	timsTOF Pro 2	Data-independent acquisition; Bottom-up proteomics; diaPASEF	Spectrum counting; Peptide counting	104	1			1	39327420	10.1038/s41467-024-52605-x	Enhanced feature matching in single-cell proteomics characterizes IFN- response and co-existence of cell states.	https://www.ebi.ac.uk/pride/archive/projects/PXD053473
PXD054066	sandbox_draft	sandbox/PXD054066/PXD054066.sdrf.tsv	Deep single-cell proteomics quantifies low-abundant embryonic transcription factors and lineage markers during induced pluripotent stem cell differentiation	single-cell proteomics;cellenONE;ProteoCHIP	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Bottom-up proteomics		128	123			0				https://www.ebi.ac.uk/pride/archive/projects/PXD054066
PXD054083	sandbox_draft	sandbox/PXD054083/PXD054083.sdrf.tsv	Global analysis of protein turnover dynamics in single cells	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Astral	Bottom-up proteomics		201	186			0				https://www.ebi.ac.uk/pride/archive/projects/PXD054083
PXD054440	sandbox_draft	sandbox/PXD054440/PXD054440.sdrf.tsv	The proteomic landscape of proteotoxic stress in a fibrogenic liver disease	deep visual proteomics	Deep Visual Proteomics	Homo sapiens (human)	Liver; Hepatocyte	Alpha 1-antitrypsin deficiency	Orbitrap Astral	Data-independent acquisition; Bottom-up proteomics		8	1			1	40240610	10.1038/s41586-025-08885-4	Deep Visual Proteomics maps proteotoxicity in a genetic liver disease.	https://www.ebi.ac.uk/pride/archive/projects/PXD054440
