source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_4Th6ms_01	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_4Th6ms_01	10	95	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_4Th6ms_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_4Th6ms_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_4Th6ms_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_2Th3ms_01	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_2Th3ms_01	10	96	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_2Th3ms_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_2Th3ms_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_10Cells_40SPD_2Th3ms_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_07	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_07	1	97	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_07	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_07.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_22	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_22	1	98	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_22	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_22.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_02	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_02	40	99	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_8Th12ms_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_4Th6ms_03	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_4Th6ms_03	40	100	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_4Th6ms_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_4Th6ms_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_4Th6ms_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_02	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_02	1	101	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_38	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_38	1	102	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_38	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_38.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_16	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_16	1	103	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_16	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_16.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_09	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_09	1	104	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_09	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_09.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_35	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_35	1	105	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_35	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_35.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_01	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_01	1	106	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_04	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	pooled	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_04	40	107	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_04	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_40Cells_40SPD_2Th3ms_04.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_48	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_48	1	108	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_48	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_48.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_48.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_42	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_42	1	109	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_42	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_42.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Treat_80SPD_4Th6ms_42.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_03	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_03	1	110	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_8Th12ms_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_11	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_11	1	111	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_11	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_16Th24ms_11.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_34	Homo sapiens	Cell culture	not available	not available	not available	not available	not available	not available	Cell culture	HeLa	cell	single cell	cellenONE	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_34	1	112	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_34	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_34.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
