source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biorepository]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[compound]	characteristics[exposure duration]	technology type	comment[fraction identifier]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]
PXD063467_21_Cana_high3	21_AC16_DDA_BA2_1_4113	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	21_AC16_DDA_BA2_1_4113.d.zip	v1.1.0	manual curation
PXD063467_22_Cana_high4	22_AC16_DDA_BA3_1_4114	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	22_AC16_DDA_BA3_1_4114.d.zip	v1.1.0	manual curation
PXD063467_23_Cana_high5	23_AC16_DDA_BA4_1_4111	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	23_AC16_DDA_BA4_1_4111.d.zip	v1.1.0	manual curation
PXD063467_24_Cana_high6	24_AC16_DDA_BA5_1_4112	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	canagliflozin	10 uM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	24_AC16_DDA_BA5_1_4112.d.zip	v1.1.0	manual curation
PXD063467_25_Dapa_low1	25_AC16_DDA_GB5_1_4079	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	25_AC16_DDA_GB5_1_4079.d.zip	v1.1.0	manual curation
PXD063467_26_Dapa_low2	26_AC16_DDA_GB6_1_4081	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	26_AC16_DDA_GB6_1_4081.d.zip	v1.1.0	manual curation
PXD063467_27_Dapa_low3	27_AC16_DDA_GB7_1_4083	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	27_AC16_DDA_GB7_1_4083.d.zip	v1.1.0	manual curation
PXD063467_28_Dapa_low4	28_AC16_DDA_GB8_1_4084	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	28_AC16_DDA_GB8_1_4084.d.zip	v1.1.0	manual curation
PXD063467_29_Dapa_low5	29_AC16_DDA_GC1_1_4085	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	29_AC16_DDA_GC1_1_4085.d.zip	v1.1.0	manual curation
PXD063467_30_Dapa_low6	30_AC16_DDA_GC2_1_4086	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	dapagliflozin	10 nM	24 hour	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	30_AC16_DDA_GC2_1_4086.d.zip	v1.1.0	manual curation
